"符号","文件路径","行号","类别","快照日期"
"hd_dc_debug.relation_scene.rival","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","69","中文键","2026-09-13"
"hd_dc_debug.relation_scene.rival.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","70","中文键","2026-09-13"
"hd_dc_debug.result.breached","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","215","中文键","2026-09-13"
"hd_dc_debug.result.expired","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","217","中文键","2026-09-13"
"hd_dc_debug.result.fulfilled","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","214","中文键","2026-09-13"
"hd_dc_debug.result.guarantor_letter","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","224","中文键","2026-09-13"
"hd_dc_debug.result.invalidated","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","216","中文键","2026-09-13"
"hd_dc_debug.result.ordinary_code","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","210","中文键","2026-09-13"
"hd_dc_debug.result.par_code","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","209","中文键","2026-09-13"
"hd_dc_debug.result.partial","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","218","中文键","2026-09-13"
"hd_dc_debug.result.pause_code","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","212","中文键","2026-09-13"
"hd_dc_debug.result.protection_code","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","211","中文键","2026-09-13"
"hd_dc_debug.result.rejected","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","220","中文键","2026-09-13"
"hd_dc_debug.result.released","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","221","中文键","2026-09-13"
"hd_dc_debug.result.roy_code","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","208","中文键","2026-09-13"
"hd_dc_debug.result.verified","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","219","中文键","2026-09-13"
"hd_dc_debug.result.writing","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","222","中文键","2026-09-13"
"hd_dc_debug.result.youth_letter","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","223","中文键","2026-09-13"
"hd_dc_debug.results","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","171","中文键","2026-09-13"
"hd_dc_debug.roy01","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","150","中文键","2026-09-13"
"hd_dc_debug.roy01.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","151","中文键","2026-09-13"
"hd_dc_debug.roy08","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","152","中文键","2026-09-13"
"hd_dc_debug.roy08.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","153","中文键","2026-09-13"
"hd_dc_debug.scheme_scene","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","89","中文键","2026-09-13"
"hd_dc_debug.scheme_scene.abduct","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","96","中文键","2026-09-13"
"hd_dc_debug.scheme_scene.abduct_target","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","92","中文键","2026-09-13"
"hd_dc_debug.scheme_scene.desc","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","90","中文键","2026-09-13"
"hd_dc_debug.scheme_scene.murder","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","95","中文键","2026-09-13"
"hd_dc_debug.scheme_scene.murder_target","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","91","中文键","2026-09-13"
"hd_dc_debug.scheme_scene.no_abduct","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","94","中文键","2026-09-13"
"hd_dc_debug.scheme_scene.no_murder","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","93","中文键","2026-09-13"
"hd_dc_debug.set_0","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","30","中文键","2026-09-13"
"hd_dc_debug.set_100","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","35","中文键","2026-09-13"
"hd_dc_debug.set_20","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","31","中文键","2026-09-13"
"hd_dc_debug.set_40","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","32","中文键","2026-09-13"
"hd_dc_debug.set_60","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","33","中文键","2026-09-13"
"hd_dc_debug.set_80","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","34","中文键","2026-09-13"
"hd_dc_debug.status","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","8","中文键","2026-09-13"
"hd_dc_debug.test_native_breakdown","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","275","中文键","2026-09-13"
"hd_dc_debug.test_native_breakdown.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","276","中文键","2026-09-13"
"hd_dc_debug.test_stress","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","273","中文键","2026-09-13"
"hd_dc_debug.test_stress.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","274","中文键","2026-09-13"
"hd_dc_debug.test_unity","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","267","中文键","2026-09-13"
"hd_dc_debug.test_unity.tt","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","268","中文键","2026-09-13"
"hd_dc_debug.unity_change","localization/simp_chinese/hd_dc_debug_inspection_l_simp_chinese.yml","269","中文键","2026-09-13"
"hd_dc_debug.w","localization/simp_chinese/hd_dc_debug_l_simp_chinese.yml","9","中文键","2026-09-13"
"hd_dc_declare_claimant_faction_war_effect","common/scripted_effects/hd_dc_royal_pause_effects.txt","54","文本匹配的顶层定义","2026-09-13"
"hd_dc_deliver_party_policy_inquiry_effect","common/scripted_effects/hd_dc_party_case_effects.txt","59","文本匹配的顶层定义","2026-09-13"
"hd_dc_deliver_policy_leader_notice_effect","common/scripted_effects/hd_dc_policy_effects.txt","165","文本匹配的顶层定义","2026-09-13"
"hd_dc_deliver_policy_trial_notice_effect","common/scripted_effects/hd_dc_policy_effects.txt","144","文本匹配的顶层定义","2026-09-13"
"hd_dc_deliver_proposal_effect","common/scripted_effects/hd_dc_proposal_effects.txt","52","文本匹配的顶层定义","2026-09-13"
"hd_dc_development_loss_due_value","common/script_values/hd_dc_pressure_values.txt","31","文本匹配的顶层定义","2026-09-13"
"hd_dc_development_loss_target_value","common/script_values/hd_dc_pressure_values.txt","18","文本匹配的顶层定义","2026-09-13"
"hd_dc_disaster_catalyst_once_effect","common/scripted_effects/10_dlc_tgp_natural_disaster_scripted_effects.txt","6","文本匹配的顶层定义","2026-09-13"
"hd_dc_dispatch_claimant_demand_effect","common/scripted_effects/hd_dc_royal_pause_effects.txt","31","文本匹配的顶层定义","2026-09-13"
"hd_dc_dispatch_par01_effect","common/scripted_effects/hd_dc_party_event_effects.txt","48","文本匹配的顶层定义","2026-09-13"
"hd_dc_dispatch_roy01_effect","common/scripted_effects/hd_dc_royal_event_effects.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_earthquake_county_eligible_trigger","common/scripted_triggers/hd_dc_natural_disaster_triggers.txt","2","文本匹配的顶层定义","2026-09-13"
"hd_dc_enter_denominator_value","common/script_values/hd_dc_parameters.txt","22","文本匹配的顶层定义","2026-09-13"
"hd_dc_enthronement_support_opinion","common/opinion_modifiers/hd_dc_opinions.txt","11","文本匹配的顶层定义","2026-09-13"
"hd_dc_enthronement_support_opinion","localization/simp_chinese/hd_dc_royal_resolution_l_simp_chinese.yml","3","中文键","2026-09-13"
"hd_dc_epidemic_hazard_multiplier_value","common/script_values/hd_dc_epidemic_values.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_era_control_status","localization/simp_chinese/hd_dc_era_l_simp_chinese.yml","9","中文键","2026-09-13"
"hd_dc_era_invalid_status","localization/simp_chinese/hd_dc_era_l_simp_chinese.yml","11","中文键","2026-09-13"
"hd_dc_era_no_holder_status","localization/simp_chinese/hd_dc_era_l_simp_chinese.yml","10","中文键","2026-09-13"
"hd_dc_era_no_sovereignty_change_tt","localization/simp_chinese/hd_dc_era_l_simp_chinese.yml","5","中文键","2026-09-13"
"hd_dc_era_rules_tt","localization/simp_chinese/hd_dc_era_l_simp_chinese.yml","6","中文键","2026-09-13"
"hd_dc_era.0001","events/hd_dc_era_events.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_era.0001.a","localization/simp_chinese/hd_dc_era_l_simp_chinese.yml","4","中文键","2026-09-13"
"hd_dc_era.0001.desc","localization/simp_chinese/hd_dc_era_l_simp_chinese.yml","3","中文键","2026-09-13"
"hd_dc_era.0001.t","localization/simp_chinese/hd_dc_era_l_simp_chinese.yml","2","中文键","2026-09-13"
"hd_dc_evaluate_era_effect","common/scripted_effects/hd_dc_era_effects.txt","182","文本匹配的顶层定义","2026-09-13"
"hd_dc_execute_ord09_ransom_effect","common/scripted_effects/hd_dc_ransom_effects.txt","134","文本匹配的顶层定义","2026-09-13"
"hd_dc_execute_payment_effect","common/scripted_effects/hd_dc_payment_effects.txt","5","文本匹配的顶层定义","2026-09-13"
"hd_dc_execute_royal_support_effect","common/scripted_effects/hd_dc_royal_support_effects.txt","4","文本匹配的顶层定义","2026-09-13"
"hd_dc_existing_depressed_candidate_trigger","common/scripted_triggers/hd_dc_existing_trait_pool_triggers.txt","16","文本匹配的顶层定义","2026-09-13"
"hd_dc_existing_pool_drunkard_trigger","common/scripted_triggers/hd_dc_existing_trait_pool_triggers.txt","1","文本匹配的顶层定义","2026-09-13"
"hd_dc_existing_pool_rakish_trigger","common/scripted_triggers/hd_dc_existing_trait_pool_triggers.txt","5","文本匹配的顶层定义","2026-09-13"
"hd_dc_existing_profligate_candidate_trigger","common/scripted_triggers/hd_dc_existing_trait_pool_triggers.txt","9","文本匹配的顶层定义","2026-09-13"
"hd_dc_extra_character_faction_available_trigger","common/scripted_triggers/hd_dc_faction_pulse_triggers.txt","23","文本匹配的顶层定义","2026-09-13"
"hd_dc_extra_claimant_available_trigger","common/scripted_triggers/hd_dc_faction_pulse_claimant_triggers.txt","84","文本匹配的顶层定义","2026-09-13"
"hd_dc_extra_claimant_creator_trigger","common/scripted_triggers/hd_dc_faction_pulse_claimant_triggers.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_extra_claimant_person_trigger","common/scripted_triggers/hd_dc_faction_pulse_claimant_triggers.txt","23","文本匹配的顶层定义","2026-09-13"
"hd_dc_extra_county_faction_available_trigger","common/scripted_triggers/hd_dc_faction_pulse_triggers.txt","29","文本匹配的顶层定义","2026-09-13"
"hd_dc_extra_faction_county_trigger","common/scripted_triggers/hd_dc_faction_pulse_triggers.txt","19","文本匹配的顶层定义","2026-09-13"
"hd_dc_extra_faction_created","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","20","中文键","2026-09-13"
"hd_dc_extra_faction_creation_failed","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","19","中文键","2026-09-13"
"hd_dc_extra_faction_creator_trigger","common/scripted_triggers/hd_dc_faction_pulse_triggers.txt","14","文本匹配的顶层定义","2026-09-13"
"hd_dc_extra_faction_low_w","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","16","中文键","2026-09-13"
"hd_dc_extra_faction_missed","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","17","中文键","2026-09-13"
"hd_dc_extra_faction_no_type","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","18","中文键","2026-09-13"
"hd_dc_extra_faction_vassal_trigger","common/scripted_triggers/hd_dc_faction_pulse_triggers.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_extra_faction_yearly","common/on_action/hd_dc_faction_pulse_on_actions.txt","5","文本匹配的顶层定义","2026-09-13"
"hd_dc_faction_demand_hazard_modifier","common/scripted_modifiers/hd_dc_faction_modifiers.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_faction_hazard_multiplier_value","common/script_values/hd_dc_faction_values.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_faction_pulse_debug.0001","events/hd_dc_faction_pulse_debug_events.txt","5","文本匹配的顶层定义","2026-09-13"
"hd_dc_faction_pulse_debug.actor","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","9","中文键","2026-09-13"
"hd_dc_faction_pulse_debug.check","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","14","中文键","2026-09-13"
"hd_dc_faction_pulse_debug.check.tt","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","15","中文键","2026-09-13"
"hd_dc_faction_pulse_debug.claimant","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","12","中文键","2026-09-13"
"hd_dc_faction_pulse_debug.county","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","10","中文键","2026-09-13"
"hd_dc_faction_pulse_debug.desc","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","3","中文键","2026-09-13"
"hd_dc_faction_pulse_debug.low_w","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","6","中文键","2026-09-13"
"hd_dc_faction_pulse_debug.no_record","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","7","中文键","2026-09-13"
"hd_dc_faction_pulse_debug.no_title","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","5","中文键","2026-09-13"
"hd_dc_faction_pulse_debug.outside","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","4","中文键","2026-09-13"
"hd_dc_faction_pulse_debug.record","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","8","中文键","2026-09-13"
"hd_dc_faction_pulse_debug.title","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","2","中文键","2026-09-13"
"hd_dc_faction_pulse_debug.type","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","11","中文键","2026-09-13"
"hd_dc_faction_pulse_debug.used","localization/simp_chinese/hd_dc_faction_pulse_debug_l_simp_chinese.yml","13","中文键","2026-09-13"
"hd_dc_faithful_royal_opinion","common/opinion_modifiers/hd_dc_opinions.txt","12","文本匹配的顶层定义","2026-09-13"
"hd_dc_faithful_royal_opinion","localization/simp_chinese/hd_dc_royal_resolution_l_simp_chinese.yml","4","中文键","2026-09-13"
"hd_dc_finish_authored_party_node_effect","common/scripted_effects/hd_dc_party_event_effects.txt","38","文本匹配的顶层定义","2026-09-13"
"hd_dc_finish_ord09_exchange_effect","common/scripted_effects/hd_dc_ransom_effects.txt","188","文本匹配的顶层定义","2026-09-13"
"hd_dc_finish_par01_audit_effect","common/scripted_effects/hd_dc_policy_audit_effects.txt","288","文本匹配的顶层定义","2026-09-13"
"hd_dc_finish_par01_offer_effect","common/scripted_effects/hd_dc_policy_offer_effects.txt","100","文本匹配的顶层定义","2026-09-13"
"hd_dc_finish_policy_trial_effect","common/scripted_effects/hd_dc_policy_effects.txt","105","文本匹配的顶层定义","2026-09-13"
"hd_dc_finish_roy01_effect","common/scripted_effects/hd_dc_royal_event_effects.txt","199","文本匹配的顶层定义","2026-09-13"
"hd_dc_finish_royal_protection_effect","common/scripted_effects/hd_dc_royal_protection_effects.txt","405","文本匹配的顶层定义","2026-09-13"
"hd_dc_fixed_five_year_war_truce_days","common/script_values/hd_dc_truce_values.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_fixed_forty_year_war_truce_days","common/script_values/hd_dc_truce_values.txt","22","文本匹配的顶层定义","2026-09-13"
"hd_dc_fixed_ten_year_war_truce_days","common/script_values/hd_dc_truce_values.txt","16","文本匹配的顶层定义","2026-09-13"
"hd_dc_flood_county_eligible_trigger","common/scripted_triggers/hd_dc_natural_disaster_triggers.txt","8","文本匹配的顶层定义","2026-09-13"
"hd_dc_freeze_existing_trait_pool_region_effect","common/scripted_effects/hd_dc_existing_trait_pool_effects.txt","56","文本匹配的顶层定义","2026-09-13"
"hd_dc_freeze_protection_purge_reason_effect","common/scripted_effects/hd_dc_royal_protection_effects.txt","145","文本匹配的顶层定义","2026-09-13"
"hd_dc_freeze_protection_subject_effect","common/scripted_effects/hd_dc_royal_protection_effects.txt","50","文本匹配的顶层定义","2026-09-13"
"hd_dc_fund_par01_trial_effect","common/scripted_effects/hd_dc_policy_effects.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_gov.0001","events/hd_dc_governance_events.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_gov.0001.a","localization/simp_chinese/hd_dc_governance_l_simp_chinese.yml","9","中文键","2026-09-13"
"hd_dc_gov.0001.a.tt","localization/simp_chinese/hd_dc_governance_l_simp_chinese.yml","10","中文键","2026-09-13"
"hd_dc_gov.0001.b","localization/simp_chinese/hd_dc_governance_l_simp_chinese.yml","11","中文键","2026-09-13"
"hd_dc_gov.0001.b.tt","localization/simp_chinese/hd_dc_governance_l_simp_chinese.yml","12","中文键","2026-09-13"
"hd_dc_gov.0001.desc","localization/simp_chinese/hd_dc_governance_l_simp_chinese.yml","8","中文键","2026-09-13"
"hd_dc_gov.0001.t","localization/simp_chinese/hd_dc_governance_l_simp_chinese.yml","7","中文键","2026-09-13"
"hd_dc_gov.0002","events/hd_dc_governance_events.txt","27","文本匹配的顶层定义","2026-09-13"
"hd_dc_gov.0002.a","localization/simp_chinese/hd_dc_governance_l_simp_chinese.yml","18","中文键","2026-09-13"
"hd_dc_gov.0002.breach","localization/simp_chinese/hd_dc_governance_l_simp_chinese.yml","17","中文键","2026-09-13"
"hd_dc_gov.0002.high","localization/simp_chinese/hd_dc_governance_l_simp_chinese.yml","14","中文键","2026-09-13"
"hd_dc_gov.0002.low","localization/simp_chinese/hd_dc_governance_l_simp_chinese.yml","16","中文键","2026-09-13"
"hd_dc_gov.0002.medium","localization/simp_chinese/hd_dc_governance_l_simp_chinese.yml","15","中文键","2026-09-13"
"hd_dc_gov.0002.t","localization/simp_chinese/hd_dc_governance_l_simp_chinese.yml","13","中文键","2026-09-13"
"hd_dc_governance_accounts_ready_trigger","common/scripted_triggers/hd_dc_governance_triggers.txt","36","文本匹配的顶层定义","2026-09-13"
"hd_dc_governance_full_fulfillment_trigger","common/scripted_triggers/hd_dc_governance_triggers.txt","62","文本匹配的顶层定义","2026-09-13"
"hd_dc_governance_peace_trigger","common/scripted_triggers/hd_dc_governance_triggers.txt","21","文本匹配的顶层定义","2026-09-13"
"hd_dc_governance_review_ready_tt","localization/simp_chinese/hd_dc_governance_l_simp_chinese.yml","6","中文键","2026-09-13"
"hd_dc_governance_reviewer_trigger","common/scripted_triggers/hd_dc_governance_triggers.txt","79","文本匹配的顶层定义","2026-09-13"
"hd_dc_governance_substantive_settlement_trigger","common/scripted_triggers/hd_dc_governance_triggers.txt","58","文本匹配的顶层定义","2026-09-13"
"hd_dc_governance_window_valid_trigger","common/scripted_triggers/hd_dc_governance_triggers.txt","86","文本匹配的顶层定义","2026-09-13"
"hd_dc_governor_trait_candidate_trigger","common/scripted_triggers/hd_dc_governor_trait_triggers.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_grant_ritual_precedence_effect","common/scripted_effects/hd_dc_ritual_effects.txt","91","文本匹配的顶层定义","2026-09-13"
"hd_dc_guard_claimant_demand_effect","common/scripted_effects/hd_dc_royal_pause_effects.txt","44","文本匹配的顶层定义","2026-09-13"
"hd_dc_guard_claimant_faction_war_effect","common/scripted_effects/hd_dc_royal_pause_effects.txt","69","文本匹配的顶层定义","2026-09-13"
"hd_dc_has_hegemon_trigger","common/scripted_triggers/hd_dc_era_triggers.txt","12","文本匹配的顶层定义","2026-09-13"
"hd_dc_hazard_binary_divisor_value","common/script_values/hd_dc_hazard_values.txt","165","文本匹配的顶层定义","2026-09-13"
"hd_dc_hazard_probability_value","common/script_values/hd_dc_hazard_values.txt","31","文本匹配的顶层定义","2026-09-13"
"hd_dc_hazard_scaled_exp_value","common/script_values/hd_dc_hazard_values.txt","150","文本匹配的顶层定义","2026-09-13"
"hd_dc_hazard_scaled_log_value","common/script_values/hd_dc_hazard_values.txt","136","文本匹配的顶层定义","2026-09-13"
"hd_dc_in_chaos_region_trigger","common/scripted_triggers/hd_dc_mechanism_triggers.txt","2","文本匹配的顶层定义","2026-09-13"
"hd_dc_independence_demand_base_value","common/script_values/hd_dc_faction_values.txt","19","文本匹配的顶层定义","2026-09-13"
"hd_dc_initialize_ritual_register_effect","common/scripted_effects/hd_dc_ritual_effects.txt","4","文本匹配的顶层定义","2026-09-13"
"hd_dc_initialize_scope_effect","common/scripted_effects/hd_dc_era_effects.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_interrupt_governance_on_war","common/on_action/hd_dc_observer_on_actions.txt","52","文本匹配的顶层定义","2026-09-13"
"hd_dc_interrupt_governance_stability_effect","common/scripted_effects/hd_dc_governance_effects.txt","113","文本匹配的顶层定义","2026-09-13"
"hd_dc_invite_royal_register_effect","common/scripted_effects/hd_dc_royal_event_effects.txt","222","文本匹配的顶层定义","2026-09-13"
"hd_dc_is_mandate_war_trigger","common/scripted_triggers/hd_dc_era_triggers.txt","28","文本匹配的顶层定义","2026-09-13"
"hd_dc_liberty_demand_base_value","common/script_values/hd_dc_faction_values.txt","40","文本匹配的顶层定义","2026-09-13"
"hd_dc_low_control_trigger","common/scripted_triggers/hd_dc_era_triggers.txt","17","文本匹配的顶层定义","2026-09-13"
"hd_dc_maintain_core_war_effect","common/scripted_effects/hd_dc_war_effects.txt","198","文本匹配的顶层定义","2026-09-13"
"hd_dc_maintain_ord19_cooperation_effect","common/scripted_effects/hd_dc_enemy_child_effects.txt","153","文本匹配的顶层定义","2026-09-13"
"hd_dc_maintain_ordinary_effect","common/scripted_effects/hd_dc_ordinary_effects.txt","230","文本匹配的顶层定义","2026-09-13"
"hd_dc_maintain_par01_audit_effect","common/scripted_effects/hd_dc_policy_audit_effects.txt","111","文本匹配的顶层定义","2026-09-13"
"hd_dc_maintain_party_events_effect","common/scripted_effects/hd_dc_party_event_effects.txt","60","文本匹配的顶层定义","2026-09-13"
"hd_dc_maintain_party_policy_case_effect","common/scripted_effects/hd_dc_party_case_effects.txt","88","文本匹配的顶层定义","2026-09-13"
"hd_dc_maintain_policy_trial_effect","common/scripted_effects/hd_dc_policy_effects.txt","80","文本匹配的顶层定义","2026-09-13"
"hd_dc_maintain_proposal_effect","common/scripted_effects/hd_dc_proposal_effects.txt","167","文本匹配的顶层定义","2026-09-13"
"hd_dc_maintain_record_registry_effect","common/scripted_effects/hd_dc_record_effects.txt","242","文本匹配的顶层定义","2026-09-13"
"hd_dc_maintain_royal_events_effect","common/scripted_effects/hd_dc_royal_event_effects.txt","274","文本匹配的顶层定义","2026-09-13"
"hd_dc_maintain_royal_pause_effect","common/scripted_effects/hd_dc_royal_pause_effects.txt","129","文本匹配的顶层定义","2026-09-13"
"hd_dc_maintain_royal_protection_effect","common/scripted_effects/hd_dc_royal_protection_effects.txt","347","文本匹配的顶层定义","2026-09-13"
"hd_dc_maintain_royal_support_offer_effect","common/scripted_effects/hd_dc_royal_offer_effects.txt","136","文本匹配的顶层定义","2026-09-13"
"hd_dc_mandate_observation_tt","localization/simp_chinese/hd_dc_era_l_simp_chinese.yml","7","中文键","2026-09-13"
"hd_dc_mandate_once_per_era_tt","localization/simp_chinese/hd_dc_era_l_simp_chinese.yml","8","中文键","2026-09-13"
"hd_dc_mandate_war_pending_trigger","common/scripted_triggers/hd_dc_era_triggers.txt","38","文本匹配的顶层定义","2026-09-13"
"hd_dc_map_catalyst_effect","common/scripted_effects/hd_dc_catalyst_effects.txt","57","文本匹配的顶层定义","2026-09-13"
"hd_dc_military_social_snapshot_valid_trigger","common/scripted_triggers/hd_dc_military_selection_triggers.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_murder_base_probability_value","common/script_values/hd_dc_scheme_initiation_values.txt","105","文本匹配的顶层定义","2026-09-13"
"hd_dc_natural_disaster_hazard_multiplier_value","common/script_values/hd_dc_natural_disaster_values.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_natural_disaster_setup","common/on_action/hd_dc_natural_disaster_on_actions.txt","10","文本匹配的顶层定义","2026-09-13"
"hd_dc_negative_completion_dynamic_bad_factor_value","common/script_values/hd_dc_negative_completion_values.txt","98","文本匹配的顶层定义","2026-09-13"
"hd_dc_negative_completion_dynamic_chance_value","common/script_values/hd_dc_negative_completion_values.txt","86","文本匹配的顶层定义","2026-09-13"
"hd_dc_negative_completion_dynamic_other_factor_value","common/script_values/hd_dc_negative_completion_values.txt","108","文本匹配的顶层定义","2026-09-13"
"hd_dc_negative_completion_eligible_trigger","common/scripted_triggers/hd_dc_negative_completion_triggers.txt","2","文本匹配的顶层定义","2026-09-13"
"hd_dc_negative_completion_guest_bad_factor_value","common/script_values/hd_dc_negative_completion_values.txt","73","文本匹配的顶层定义","2026-09-13"
"hd_dc_negative_completion_guest_coping_trigger","common/scripted_triggers/hd_dc_negative_completion_triggers.txt","22","文本匹配的顶层定义","2026-09-13"
"hd_dc_negative_completion_native_bad_value","common/script_values/hd_dc_negative_completion_values.txt","2","文本匹配的顶层定义","2026-09-13"
"hd_dc_negative_completion_native_other_value","common/script_values/hd_dc_negative_completion_values.txt","28","文本匹配的顶层定义","2026-09-13"
"hd_dc_note_par01_reserve_disappointment_effect","common/scripted_effects/hd_dc_policy_offer_effects.txt","150","文本匹配的顶层定义","2026-09-13"
"hd_dc_note_par01_trial_started_effect","common/scripted_effects/hd_dc_policy_offer_effects.txt","132","文本匹配的顶层定义","2026-09-13"
"hd_dc_notify_chaos_effect","common/scripted_effects/hd_dc_era_effects.txt","240","文本匹配的顶层定义","2026-09-13"
"hd_dc_observe_annual_crisis_pool_effect","common/scripted_effects/hd_dc_scheduler_effects.txt","4","文本匹配的顶层定义","2026-09-13"
"hd_dc_observe_governance_effect","common/scripted_effects/hd_dc_governance_effects.txt","4","文本匹配的顶层定义","2026-09-13"
"hd_dc_observe_hegemony_destruction","common/on_action/hd_dc_observer_on_actions.txt","96","文本匹配的顶层定义","2026-09-13"
"hd_dc_observe_mandate_war_effect","common/scripted_effects/hd_dc_era_effects.txt","224","文本匹配的顶层定义","2026-09-13"
"hd_dc_observe_ordinary_pool_effect","common/scripted_effects/hd_dc_ordinary_effects.txt","5","文本匹配的顶层定义","2026-09-13"
"hd_dc_observe_political_state","common/on_action/hd_dc_observer_on_actions.txt","32","文本匹配的顶层定义","2026-09-13"
"hd_dc_observe_royal_war_resolution_effect","common/scripted_effects/hd_dc_royal_resolution_effects.txt","3","文本匹配的顶层定义","2026-09-13"
"hd_dc_observe_title_transfer","common/on_action/hd_dc_observer_on_actions.txt","80","文本匹配的顶层定义","2026-09-13"
"hd_dc_observe_vassal_change","common/on_action/hd_dc_observer_on_actions.txt","106","文本匹配的顶层定义","2026-09-13"
"hd_dc_offer_par01_leadership_effect","common/scripted_effects/hd_dc_policy_offer_effects.txt","2","文本匹配的顶层定义","2026-09-13"
"hd_dc_open_governance_review_effect","common/scripted_effects/hd_dc_governance_effects.txt","130","文本匹配的顶层定义","2026-09-13"
